artist,start,stage,url
Thee Sacred Souls,4:20 PM,Coachella Stage,https://www.youtube.com/watch?v=Y2FzDMuJ5pI
MARINA,5:40 PM,Coachella Stage,https://www.youtube.com/watch?v=Y2FzDMuJ5pI
Benson Boone,7:10 PM,Coachella Stage,https://www.youtube.com/watch?v=Y2FzDMuJ5pI
Missy Elliott,9:00 PM,Coachella Stage,https://www.youtube.com/watch?v=Y2FzDMuJ5pI
Lady Gaga,11:10 PM,Coachella Stage,https://www.youtube.com/watch?v=Y2FzDMuJ5pI
Seun Kuti & Egypt 80,4:05 PM,Outdoor Theater,https://www.youtube.com/watch?v=WxwawRL_nY8
The Go-Go's,5:25 PM,Outdoor Theater,https://www.youtube.com/watch?v=WxwawRL_nY8
Tyla,6:45 PM,Outdoor Theater,https://www.youtube.com/watch?v=WxwawRL_nY8
The Marías,8:20 PM,Outdoor Theater,https://www.youtube.com/watch?v=WxwawRL_nY8
Parcels,10:10 PM,Outdoor Theater,https://www.youtube.com/watch?v=WxwawRL_nY8
The Martinez Brothers & Loco Dice,11:10 PM,Outdoor Theater,https://www.youtube.com/watch?v=WxwawRL_nY8
Chris Lorenzo,4:00 PM,Sahara,https://www.youtube.com/watch?v=afO7r8TQTSw
Three 6 Mafia,5:15 PM,Sahara,https://www.youtube.com/watch?v=afO7r8TQTSw
Sara Landry,6:10 PM,Sahara,https://www.youtube.com/watch?v=afO7r8TQTSw
Austin Millz,7:15 PM,Sahara,https://www.youtube.com/watch?v=afO7r8TQTSw
LISA,7:45 PM,Sahara,https://www.youtube.com/watch?v=afO7r8TQTSw
Yeat,9:10 PM,Sahara,https://www.youtube.com/watch?v=afO7r8TQTSw
GloRilla,10:25 PM,Sahara,https://www.youtube.com/watch?v=afO7r8TQTSw
Mustard,11:50 PM,Sahara,https://www.youtube.com/watch?v=afO7r8TQTSw
SAINt JHN,4:00 PM,Mojave,https://www.youtube.com/watch?v=BajnpDN6vG8
Lola Young,4:50 PM,Mojave,https://www.youtube.com/watch?v=BajnpDN6vG8
Ravyn Lenae,5:40 PM,Mojave,https://www.youtube.com/watch?v=BajnpDN6vG8
Djo,6:05 PM,Mojave,https://www.youtube.com/watch?v=BajnpDN6vG8
Eyedress,7:20 PM,Mojave,https://www.youtube.com/watch?v=BajnpDN6vG8
Miike Snow,8:35 PM,Mojave,https://www.youtube.com/watch?v=BajnpDN6vG8
The Prodigy,10:05 PM,Mojave,https://www.youtube.com/watch?v=BajnpDN6vG8
Chris Lake,11:20 PM,Mojave,https://www.youtube.com/watch?v=BajnpDN6vG8
Maribou State,4:00 PM,Gobi,https://www.youtube.com/watch?v=Kg-KswkXoBg
4batz,4:45 PM,Gobi,https://www.youtube.com/watch?v=Kg-KswkXoBg
PARISI,5:30 PM,Gobi,https://www.youtube.com/watch?v=Kg-KswkXoBg
d4vd,5:55 PM,Gobi,https://www.youtube.com/watch?v=Kg-KswkXoBg
A.G. Cook,7:00 PM,Gobi,https://www.youtube.com/watch?v=Kg-KswkXoBg
Artemas,8:15 PM,Gobi,https://www.youtube.com/watch?v=Kg-KswkXoBg
CA7RIEL & Paco Amoroso,9:30 PM,Gobi,https://www.youtube.com/watch?v=Kg-KswkXoBg
Indo Warehouse,10:40 PM,Gobi,https://www.youtube.com/watch?v=Kg-KswkXoBg
TOPS,4:00 PM,Sonora,https://www.youtube.com/watch?v=TdHrgLciYWw
julie,5:00 PM,Sonora,https://www.youtube.com/watch?v=TdHrgLciYWw
Glixen,5:45 PM,Sonora,https://www.youtube.com/watch?v=TdHrgLciYWw
KNEECAP,6:10 PM,Sonora,https://www.youtube.com/watch?v=TdHrgLciYWw
vs self,7:05 PM,Sonora,https://www.youtube.com/watch?v=TdHrgLciYWw
Los Mirlos,7:30 PM,Sonora,https://www.youtube.com/watch?v=TdHrgLciYWw
SPEED,8:40 PM,Sonora,https://www.youtube.com/watch?v=TdHrgLciYWw
HiTech,10:00 PM,Sonora,https://www.youtube.com/watch?v=TdHrgLciYWw
