artist,start,end,stage
Marc Rebillet,2:50 PM,3:40 PM,Coachella Stage
070 Shake,4:10 PM,4:55 PM,Coachella Stage
Charli XCX,5:25 PM,6:20 PM,Coachella Stage
Rosalía,6:55 PM,8:05 PM,Coachella Stage
BLACKPINK,9:20 PM,11:00 PM,Coachella Stage
Calvin Harris,11:40 PM,CLOSE,Coachella Stage
Tiffany Tyson,1:40 PM,2:45 PM,Outdoor Theater
Rebelution,2:55 PM,3:40 PM,Outdoor Theater
EARTHGANG,4:05 PM,4:50 PM,Outdoor Theater
Hiatus Kaiyote,5:15 PM,6:05 PM,Outdoor Theater
SOFI TUKKER,6:35 PM,7:30 PM,Outdoor Theater
boygenius,8:10 PM,9:00 PM,Outdoor Theater
Eric Prydz,10:20 PM,CLOSE,Outdoor Theater
Triste Juventud x TOTEM,12:00 PM,1:00 PM,Sonora
Horsegirl,1:00 PM,1:30 PM,Sonora
Scowl,1:45 PM,2:15 PM,Sonora
BRATTY,2:40 PM,3:15 PM,Sonora
Destroy Boys,3:35 PM,4:10 PM,Sonora
Ethel Cain,4:30 PM,5:15 PM,Sonora
The Linda Lindas,5:35 PM,6:15 PM,Sonora
The Breeders,6:40 PM,7:30 PM,Sonora
Sunset Rollercoaster,7:55 PM,8:40 PM,Sonora
Bakar,9:00 PM,9:40 PM,Sonora
NIA ARCHIVES,10:00 PM,CLOSE,Sonora
Kershawn tha Don,1:00 PM,2:10 PM,Gobi
Elyanna,2:20 PM,3:00 PM,Gobi
UMI,3:25 PM,4:05 PM,Gobi
Dinner Party,4:30 PM,5:20 PM,Gobi
Shenseea,5:45 PM,6:25 PM,Gobi
Yaeji,6:50 PM,7:40 PM,Gobi
Eladio Carrión,8:10 PM,9:00 PM,Gobi
Monolink,9:25 PM,10:10 PM,Gobi
Chromeo,10:40 PM,11:30 PM,Gobi
Donavan's Yard,11:45 PM,CLOSE,Gobi
Juicewon,12:50 PM,1:55 PM,Mojave
AG Club,2:10 PM,2:50 PM,Mojave
Snail Mail,3:10 PM,3:50 PM,Mojave
Yung Lean,4:15 PM,4:55 PM,Mojave
Mura Masa,5:20 PM,6:00 PM,Mojave
Remi Wolf,6:25 PM,7:10 PM,Mojave
Jai Paul,7:40 PM,8:30 PM,Mojave
Underworld,9:05 PM,10:00 PM,Mojave
Labrinth,10:40 PM,CLOSE,Mojave
Saish K,1:50 PM,3:05 PM,Sahara
Flo Milli,3:20 PM,4:00 PM,Sahara
Kenny Beats,4:20 PM,5:15 PM,Sahara
Elderbrook,5:30 PM,6:25 PM,Sahara
Diljit Dosanjh,6:50 PM,7:30 PM,Sahara
Tale Of Us,8:05 PM,9:00 PM,Sahara
$uicideboy$,9:30 PM,10:20 PM,Sahara
The Kid LAROI,10:45 PM,CLOSE,Sahara
Talon,12:00 PM,1:00 PM,Yuma
Francis Mercier,1:00 PM,2:00 PM,Yuma
Chloé Caillet,2:00 PM,3:00 PM,Yuma
Colyn,3:00 PM,4:15 PM,Yuma
Mathame,4:15 PM,5:30 PM,Yuma
DJ Tennis + Carlita,5:30 PM,6:45 PM,Yuma
Jan Blomqvist,6:45 PM,8:00 PM,Yuma
WhoMadeWho,8:00 PM,9:30 PM,Yuma
Hot Since 82,9:30 PM,11:00 PM,Yuma
Keinemusik,11:00 PM,CLOSE,Yuma
Zen Freeman,12:00 PM,2:00 PM,Heineken House
Coco & Breezy,2:00 PM,4:00 PM,Heineken House
Totally Enormous Extinct Dinosaurs (DJ set),4:00 PM,5:30 PM,Heineken House
Teed b2b SG Lewis,5:30 PM,6:30 PM,Heineken House
SG Lewis,6:30 PM,8:00 PM,Heineken House
Franc Moody (DJ set),8:00 PM,10:00 PM,Heineken House
Jo Jones,12:00 PM,1:00 PM,Do LaB
DJ Susan,1:00 PM,2:15 PM,Do LaB
Paraleven,2:15 PM,3:05 PM,Do LaB
A Hundred Drums,3:10 PM,4:10 PM,Do LaB
It's Murph,4:15 PM,5:25 PM,Do LaB
Cloonee,5:30 PM,6:45 PM,Do LaB
Elephant Heart,6:50 PM,7:55 PM,Do LaB
Holly b2b Machinedrum,8:00 PM,9:10 PM,Do LaB
(SURPRISE),9:10 PM,10:10 PM,Do LaB
(SURPRISE),10:10 PM,11:40 PM,Do LaB
(SURPRISE),11:40 PM,1:00 AM,Do LaB
