artist,start,stage,url
GloRilla,4:05 PM,Coachella Stage,https://www.youtube.com/live/3ti6RRk-OVQ
Porter Robinson,4:45 PM,Coachella Stage,https://www.youtube.com/live/3ti6RRk-OVQ
Kali Uchis,6:00 PM,Coachella Stage,https://www.youtube.com/live/3ti6RRk-OVQ
blink-182,9:20 PM,Coachella Stage,https://www.youtube.com/live/3ti6RRk-OVQ
TBA,10:25 PM,Coachella Stage,https://www.youtube.com/live/3ti6RRk-OVQ
Los Fabulosos Cadillacs replay,4:05 PM,Outdoor Theater,https://www.youtube.com/watch?v=3C57SwK9QvY
Big Wild,4:30 PM,Outdoor Theater,https://www.youtube.com/watch?v=3C57SwK9QvY
Stick Figure replay,5:30 PM,Outdoor Theater,https://www.youtube.com/watch?v=3C57SwK9QvY
Rae Sremmurd,5:55 PM,Outdoor Theater,https://www.youtube.com/watch?v=3C57SwK9QvY
Dominic Fike,7:05 PM,Outdoor Theater,https://www.youtube.com/watch?v=3C57SwK9QvY
Fisher + Chris Lake ,8:35 PM,Outdoor Theater,https://www.youtube.com/watch?v=3C57SwK9QvY
Gordo,4:05 PM,Sahara,https://www.youtube.com/watch?v=o7q7ahC5eMI
Latto,5:05 PM,Sahara,https://www.youtube.com/watch?v=o7q7ahC5eMI
Jackson Wang,6:10 PM,Sahara,https://www.youtube.com/watch?v=o7q7ahC5eMI
Jai Wolf,7:25 PM,Sahara,https://www.youtube.com/watch?v=o7q7ahC5eMI
A Boogie,8:40 PM,Sahara,https://www.youtube.com/watch?v=o7q7ahC5eMI
Boris Brejcha,9:45 PM,Sahara,https://www.youtube.com/watch?v=o7q7ahC5eMI
Noname,4:10 PM,Mojave,https://www.youtube.com/watch?v=dZgeMO52kvg
Paris Texas replay,4:50 PM,Mojave,https://www.youtube.com/watch?v=dZgeMO52kvg
Weyes Blood,5:15 PM,Mojave,https://www.youtube.com/watch?v=dZgeMO52kvg
IDK replay,6:00 PM,Mojave,https://www.youtube.com/watch?v=dZgeMO52kvg
Christine and the Queens,6:25 PM,Mojave,https://www.youtube.com/watch?v=dZgeMO52kvg
WILLOW,7:45 PM,Mojave,https://www.youtube.com/watch?v=dZgeMO52kvg
The Blaze,8:55 PM,Mojave,https://www.youtube.com/watch?v=dZgeMO52kvg
Fousheé,4:05 PM,Gobi,https://www.youtube.com/watch?v=7Zv5aSik3Fk
Romy,4:45 PM,Gobi,https://www.youtube.com/watch?v=7Zv5aSik3Fk
Ali Sethi replay,5:30 PM,Gobi,https://www.youtube.com/watch?v=7Zv5aSik3Fk
2manydjs,5:55 PM,Gobi,https://www.youtube.com/watch?v=7Zv5aSik3Fk
Joy Crookes replay,6:45 PM,Gobi,https://www.youtube.com/watch?v=7Zv5aSik3Fk
Cannons,7:10 PM,Gobi,https://www.youtube.com/watch?v=7Zv5aSik3Fk
DRAMA,8:15 PM,Gobi,https://www.youtube.com/watch?v=7Zv5aSik3Fk
DPR LIVE + DPR IAN,9:20 PM,Gobi,https://www.youtube.com/watch?v=7Zv5aSik3Fk
TSHA,4:05 PM,Yuma,https://www.youtube.com/watch?v=RzFS36bQvv0
Cassian,4:30 PM,Yuma,https://www.youtube.com/watch?v=RzFS36bQvv0
Sasha & John Digweed,6:00 PM,Yuma,https://www.youtube.com/watch?v=RzFS36bQvv0
Camelphat,7:30 PM,Yuma,https://www.youtube.com/watch?v=RzFS36bQvv0
Adam Beyer,9:00 PM,Yuma,https://www.youtube.com/watch?v=RzFS36bQvv0
