artist,start,stage,url
GloRilla,4:05 PM,Coachella Stage,https://www.youtube.com/watch?v=1-3L7Uw5yEs
Porter Robinson,4:45 PM,Coachella Stage,https://www.youtube.com/watch?v=1-3L7Uw5yEs
Kali Uchis,6:00 PM,Coachella Stage,https://www.youtube.com/watch?v=1-3L7Uw5yEs
Big Wild,4:15 PM,Outdoor Theater,https://www.youtube.com/watch?v=3HYVAL-52PM
Rae Sremmurd,5:40 PM,Outdoor Theater,https://www.youtube.com/watch?v=3HYVAL-52PM
Dominic Fike,6:50 PM,Outdoor Theater,https://www.youtube.com/watch?v=3HYVAL-52PM
Fisher + Chris Lake,8:40 PM,Outdoor Theater,https://www.youtube.com/watch?v=3HYVAL-52PM
MK,4:05 PM,Sahara,https://www.youtube.com/watch?v=P8T81_n28L4
Latto,5:00 PM,Sahara,https://www.youtube.com/watch?v=P8T81_n28L4
LØREN,6:00 PM,Sahara,https://www.youtube.com/watch?v=P8T81_n28L4
Jackson Wong,6:45 PM,Sahara,https://www.youtube.com/watch?v=P8T81_n28L4
Jai Wolf,7:45 PM,Sahara,https://www.youtube.com/watch?v=P8T81_n28L4
A Boogie wit da Hoodie,9:05 PM,Sahara,https://www.youtube.com/watch?v=P8T81_n28L4
Boris Brejcha,11:20 PM,Sahara,https://www.youtube.com/watch?v=P8T81_n28L4
Noname,4:00 PM,Mojave,https://www.youtube.com/watch?v=wbZ9rP74cRE
Paris Texas replay,4:50 PM,Mojave,https://www.youtube.com/watch?v=wbZ9rP74cRE
Weyes Blood,5:15 PM,Mojave,https://www.youtube.com/watch?v=wbZ9rP74cRE
IDK replay,6:00 PM,Mojave,https://www.youtube.com/watch?v=wbZ9rP74cRE
Christine & the Queens,6:25 PM,Mojave,https://www.youtube.com/watch?v=wbZ9rP74cRE
WILLOW,7:45 PM,Mojave,https://www.youtube.com/watch?v=wbZ9rP74cRE
The Blaze,8:55 PM,Mojave,https://www.youtube.com/watch?v=wbZ9rP74cRE
Fousheé,4:00 PM,Gobi,https://www.youtube.com/watch?v=M7tholO-Ob0
Romy,4:45 PM,Gobi,https://www.youtube.com/watch?v=M7tholO-Ob0
Ali Sethi replay,5:30 PM,Gobi,https://www.youtube.com/watch?v=M7tholO-Ob0
2manydjs,5:55 PM,Gobi,https://www.youtube.com/watch?v=M7tholO-Ob0
Joy Crookes replay,6:45 PM,Gobi,https://www.youtube.com/watch?v=M7tholO-Ob0
Cannons,7:10 PM,Gobi,https://www.youtube.com/watch?v=M7tholO-Ob0
DRAMA,8:15 PM,Gobi,https://www.youtube.com/watch?v=M7tholO-Ob0
DPR LIVE + DPR IAN,9:20 PM,Gobi,https://www.youtube.com/watch?v=M7tholO-Ob0
Sleaford Mods,4:00 PM,Sonora,https://www.youtube.com/watch?v=9hdFg3rnOXI
Momma,5:05 PM,Sonora,https://www.youtube.com/watch?v=9hdFg3rnOXI
Conexión Divina replay,5:40 PM,Sonora,https://www.youtube.com/watch?v=9hdFg3rnOXI
Alex G,6:00 PM,Sonora,https://www.youtube.com/watch?v=9hdFg3rnOXI
Los Bitchos,6:45 PM,Sonora,https://www.youtube.com/watch?v=9hdFg3rnOXI
Mareux,7:15 PM,Sonora,https://www.youtube.com/watch?v=9hdFg3rnOXI
El Michois Affair replay,7:50 PM,Sonora,https://www.youtube.com/watch?v=9hdFg3rnOXI
Knocked Loose,8:10 PM,Sonora,https://www.youtube.com/watch?v=9hdFg3rnOXI
Sundan Archives,9:10 PM,Sonora,https://www.youtube.com/watch?v=9hdFg3rnOXI
