artist,start,end,stage
Los Fabulosos Cadillacs,2:30 PM,3:15 PM,Coachella Stage
GloRilla,3:40 PM,4:20 PM,Coachella Stage
Porter Robinson,4:45 PM,5:35 PM,Coachella Stage
Kali Uchis,6:00 PM,6:50 PM,Coachella Stage
Björk,7:25 PM,8:40 PM,Coachella Stage
Frank Ocean,10:05 PM,CLOSE,Coachella Stage
Jaqck Glam,1:40 PM,2:50 PM,Outdoor Theater
Stick Figure,3:00 PM,3:45 PM,Outdoor Theater
Big Wild,4:15 PM,5:15 PM,Outdoor Theater
Rae Sremmurd,5:40 PM,6:25 PM,Outdoor Theater
Dominic Fike,6:50 PM,7:40 PM,Outdoor Theater
Fisher + Chris Lake,8:40 PM,CLOSE,Outdoor Theater
Argenis,12:00 PM,1:00 PM,Sonora
Conexión Divina,1:00 PM,1:30 PM,Sonora
Los Bitchos,1:55 PM,2:30 PM,Sonora
El Michels Affair,2:55 PM,3:35 PM,Sonora
Sleaford Mods,4:00 PM,4:40 PM,Sonora
Momma,5:05 PM,5:40 PM,Sonora
Alex G,6:00 PM,6:45 PM,Sonora
Mareux,7:15 PM,7:50 PM,Sonora
Knocked Loose,8:10 PM,8:50 PM,Sonora
Sudan Archives,9:10 PM,CLOSE,Sonora
Gingee,12:30 PM,1:40 PM,Gobi
Ali Sethi,1:50 PM,2:25 PM,Gobi
Joy Crookes,2:45 PM,3:20 PM,Gobi
Fousheé,3:40 PM,4:20 PM,Gobi
Romy,4:45 PM,5:30 PM,Gobi
2manydjs,5:55 PM,6:45 PM,Gobi
Cannons,7:10 PM,7:50 PM,Gobi
DRAMA,8:15 PM,8:55 PM,Gobi
DPR LIVE + DPR IAN,9:20 PM,CLOSE,Gobi
DJ Lil Buddha,12:45 PM,1:55 PM,Mojave
Paris Texas,2:05 PM,2:45 PM,Mojave
IDK,3:05 PM,3:45 PM,Mojave
Noname,4:10 PM,4:50 PM,Mojave
Weyes Blood,5:15 PM,6:00 PM,Mojave
Christine and the Queens,6:25 PM,7:15 PM,Mojave
WILLOW,7:45 PM,8:30 PM,Mojave
The Blaze,8:55 PM,CLOSE,Mojave
Loboman,1:25 PM,2:40 PM,Sahara
Pi'erre Bourne,2:50 PM,3:30 PM,Sahara
MK,4:00 PM,4:50 PM,Sahara
Latto,5:00 PM,5:40 PM,Sahara
LØREN,6:00 PM,6:20 PM,Sahara
Jackson Wang,6:45 PM,7:30 PM,Sahara
Jai Wolf,7:45 PM,8:40 PM,Sahara
A Boogie,9:05 PM,9:55 PM,Sahara
Boris Brejcha,11:20 PM,CLOSE,Sahara
Minus The Light,12:00 PM,1:00 PM,Yuma
Airrica,1:00 PM,2:00 PM,Yuma
LP Giobbi,2:00 PM,3:00 PM,Yuma
TSHA,3:00 PM,4:30 PM,Yuma
Cassian,4:30 PM,6:00 PM,Yuma
Sasha & John Digweed,6:00 PM,7:30 PM,Yuma
Camelphat,7:30 PM,9:00 PM,Yuma
Adam Beyer,9:00 PM,10:30 PM,Yuma
Gordo,10:30 PM,CLOSE,Yuma
Tony H,12:00 PM,2:00 PM,Heineken House
Niiko X Swae,2:00 PM,4:00 PM,Heineken House
Whipped Cream,4:00 PM,6:00 PM,Heineken House
NGHTMRE,6:00 PM,8:00 PM,Heineken House
Londonbridge,8:00 PM,10:00 PM,Heineken House
Miss Javi,12:00 PM,1:10 PM,Do LaB
Henry Pope,1:10 PM,2:20 PM,Do LaB
ELIF,2:25 PM,3:40 PM,Do LaB
Aluna,3:45 PM,4:55 PM,Do LaB
Daily Bread,5:00 PM,6:05 PM,Do LaB
Dylan & Harry (Party Favor & Baauer),6:10 PM,7:25 PM,Do LaB
Franky Wah,7:30 PM,8:45 PM,Do LaB
Kasablanca,8:55 PM,10:05 PM,Do LaB
(SURPRISE),11:15 PM,12:00 AM,Do LaB
